shipment_id,entry_no,hs_code,product_desc,supplier,country_origin,country_destination,declared_value_usd,invoice_value_usd,weight_kg,volume_m3,broker,port_of_entry,entry_date,accepted_date,release_date,duty_amount_usd,tax_amount_usd,broker_fee_usd,incoterm,license_required,license_obtained,fta_claimed,restricted_party_pass,container_number,slow_clearance
SHIP000011,22EMKIM434814,872122,BRAKE SYSTEM,Industrial Supply Co,THAILAND,SOUTH AFRICA,18423.05,18642.99,1029.25,14.35,DHL GLOBAL FORWARDING,ALEXANDRIA,2026-02-17 23:35:56,2026-02-18 04:35:56,2026-02-18 16:35:56,3535.8,3513.42,237.55,EXW,N,N,COMESA,Y,AMZN350280,N
SHIP000012,22EMKIM485717,622188,TEXTILE FABRIC,PharmaLife Sciences,SENEGAL,GHANA,11452.48,11888.66,3520.66,12.27,DHL GLOBAL FORWARDING,DAR ES SALAAM,2026-07-22 23:35:56,2026-07-23 01:35:56,2026-07-23 17:35:56,1076.12,2004.58,205.43,DDP,N,N,AFCFTA,Y,AMZN946305,N
SHIP000013,22EMKIM417146,843200,COMPRESSOR,Industrial Supply Co,RWANDA,TANZANIA,23739.46,24058.13,4148.45,0.98,DHL GLOBAL FORWARDING,NAIROBI,2025-12-02 23:35:56,2025-12-03 02:35:56,2025-12-03 14:35:56,1500.31,4038.36,223.28,DAP,N,N,EAC,Y,AMZN449759,N
SHIP000014,22EMKIM473385,948007,METAL FURNITURE,TechGlobal Ltd,VIETNAM,UGANDA,5886.21,5616.52,3413.51,13.37,AGILITY LOGISTICS,LAGOS,2025-12-06 23:35:56,2025-12-07 01:35:56,2025-12-08 12:35:56,401.63,1006.05,379.93,CIF,N,N,EAC,Y,AMZN470858,N
SHIP000015,22EMKIM429219,873900,ENGINE COMPONENT,TechGlobal Ltd,TANZANIA,GHANA,120434.15,122858.23,1754.8,16.43,AGILITY LOGISTICS,ALEXANDRIA,2026-02-13 23:35:56,2026-02-14 02:35:56,2026-02-14 16:35:56,22672.23,22897.02,111.62,DAP,N,N,SADC,Y,AMZN338651,N
SHIP000016,22EMKIM450488,845573,COMPRESSOR,AgriTech Solutions,UGANDA,KENYA,50006.91,52425.0,2187.61,19.69,KUEHNE NAGEL,MOMBASA ICD,2025-12-11 23:35:56,2025-12-12 01:35:56,2025-12-15 08:35:56,2596.0,8416.47,239.49,EXW,N,N,NONE,Y,AMZN221263,Y
SHIP000017,22EMKIM425144,859518,CABLE ASSEMBLY,AgriTech Solutions,VIETNAM,TANZANIA,29956.75,30999.29,2017.98,5.98,DHL GLOBAL FORWARDING,NAIROBI,2025-10-03 23:35:56,2025-10-04 04:35:56,2025-10-04 22:35:56,3653.99,5377.72,195.05,EXW,N,N,NONE,Y,AMZN233470,N
SHIP000018,22EMKIM412240,875930,ENGINE COMPONENT,MetalWorks Foundry,TURKEY,GHANA,31922.31,31737.67,2582.11,12.7,KUEHNE NAGEL,CASABLANCA,2026-04-18 23:35:56,2026-04-19 02:35:56,2026-04-20 15:35:56,5470.53,5982.85,220.98,EXW,N,N,AFCFTA,Y,AMZN451470,N
SHIP000019,22EMKIM491214,871400,MOTOR VEHICLE PARTS,AutoParts International,INDIA,SOUTH AFRICA,68584.72,67788.99,3894.32,4.45,KUEHNE NAGEL,DAR ES SALAAM,2026-08-05 23:35:56,2026-08-06 01:35:56,2026-08-07 13:35:56,13028.72,13058.15,172.14,FOB,N,N,EAC,Y,AMZN943170,N
SHIP000020,22EMKIM432406,848478,PUMP,PharmaLife Sciences,THAILAND,TANZANIA,47936.04,49815.23,4308.86,9.06,DHL GLOBAL FORWARDING,ABIDJAN,2025-11-11 23:35:56,2025-11-12 04:35:56,2025-11-13 05:35:56,3419.62,8216.91,286.03,CFR,N,N,SADC,Y,AMZN888295,N
SHIP000021,22EMKIM476556,305499,SURGICAL SUPPLIES,Industrial Supply Co,COTE DIVOIRE,UGANDA,50709.21,48948.61,320.71,16.67,DHL GLOBAL FORWARDING,ALEXANDRIA,2026-04-25 23:35:56,2026-04-26 01:35:56,2026-04-28 18:35:56,3620.4,8692.74,212.23,DAP,N,N,NONE,Y,AMZN508396,Y
SHIP000022,22EMKIM403534,738814,STEEL BARS,GreenEnergy Systems,INDIA,UGANDA,80963.97,79125.56,4598.51,19.62,DHL GLOBAL FORWARDING, CASABLANCA ,2026-02-09 23:35:56,2026-02-10 01:35:56,2026-02-11 15:35:56,16076.55,15526.48,208.33,DAP,N,N,SADC,Y,AMZN660069,N
SHIP000023,22EMKIM408993,733223,PIPES,MediCare Solutions,NIGERIA,GHANA,32143.21,33210.12,4999.54,7.06,KUEHNE NAGEL,CASABLANCA,2026-03-28 23:35:56,2026-03-29 02:35:56,2026-03-30 01:35:56,5632.36,6044.09,162.29,FOB,N,N,EAC,Y,AMZN781725,N
SHIP000024,22EMKIM488781,,LAB REAGENTS,MediCare Solutions,INDIA,UGANDA,17601.22,24673.6,2897.64,18.58,DHL GLOBAL FORWARDING,CASABLANCA,2025-10-04 23:35:56,2025-10-05 02:35:56,2025-10-05 17:35:56,2196.5,3167.64,167.18,FOB,N,N,AFCFTA,Y,AMZN703766,N
SHIP000025,22EMKIM483307,704978,GLASS SHEETS,TextileWorld Exports,NIGERIA,GHANA,120926.43,120060.33,4113.43,2.2,DHL GLOBAL FORWARDING,MOMBASA ICD,2025-11-08 23:35:56,2025-11-09 00:35:56,2025-11-10 13:35:56,8286.91,20674.13,225.89,DAP,N,N,NONE,Y,AMZN479781,N
SHIP000026,22EMKIM442600,945425,METAL FURNITURE,MetalWorks Foundry,TURKEY,GHANA,123947.32,118824.12,130837.07409662116,0.67,BOLLORE LOGISTICS,TEMA,2026-01-31 23:35:56,2026-02-01 01:35:56,2026-02-01 21:35:56,11661.16,21697.36,260.97,CFR,N,N,SADC,Y,AMZN992288,N
SHIP000027,22EMKIM431890,625581,TEXTILE YARN,TextileWorld Exports,UGANDA,SOUTH AFRICA,77735.77,79742.63,474.34,4.51,DHL GLOBAL FORWARDING,ABIDJAN,2026-09-06 23:35:56,2026-09-07 03:35:56,2026-09-07 16:35:56,6571.04,13489.09,246.89,FOB,N,N,SADC,Y,AMZN825391,N
SHIP000028,22EMKIM468765,946632,WOODEN FURNITURE,TextileWorld Exports,CHINA,NIGERIA,68334.92,67074.47,2426.15,14.52,KUEHNE NAGEL,PORT ELIZABETH,2025-09-17 23:35:56,2025-09-18 00:35:56,2025-09-18 15:35:56,5954.98,11886.38,292.63,CFR,N,N,AFCFTA,Y,AMZN897135,N
SHIP000029,22EMKIM462616,394727,PLASTIC COMPONENTS,MediCare Solutions,INDIA,TANZANIA,7304.6,7489.25,1710.12,19.31,DHL GLOBAL FORWARDING,LAGOS,2026-04-24 23:35:56,2026-04-25 01:35:56,2026-04-28 12:35:56,402.7,1233.17,151.84,DAP,N,N,NONE,Y,AMZN364742,Y
SHIP000030,22EMKIM407894,,GLASS BOTTLES,MediCare Solutions,NIGERIA,KENYA,149090.76,150856.27,4950.26,6.18,BOLLORE LOGISTICS,CASABLANCA,2026-07-30 23:35:56,2026-07-31 04:35:56,2026-08-04 04:35:56,13236.97,25972.44,295.09,DDP,N,N,SADC,Y,AMZN751194,Y
SHIP000031,22EMKIM455723,305335,MEDICINAL PREPARATIONS,MediCare Solutions,INDIA,TANZANIA,900.02,918.65,2953.05,16.1,AGILITY LOGISTICS,MOMBASA,2026-06-23 23:35:56,2026-06-24 00:35:56,2026-06-24 19:35:56,108.27,161.33,236.21,CFR,N,N,AFCFTA,Y,AMZN307428,N
SHIP000032,22EMKIM411970,872169,MOTOR VEHICLE PARTS,MediCare Solutions,UGANDA,KENYA,138218.28,144336.87,3675.32,12.11,KUEHNE NAGEL,DAR ES SALAAM,2025-11-24 23:35:56,2025-11-25 02:35:56,2025-11-26 06:35:56,27650.18,26538.95,224.07,DAP,N,N,EAC,Y,AMZN127121,N
SHIP000033,22EMKIM443228,701339,WINDOW GLASS,PlastiPack Ltd,india,SOUTH AFRICA,78085.09,77584.45,1612.08,2.18,agility logistics,LAGOS,2026-01-14 23:35:56,2026-01-15 01:35:56,2026-01-15 18:35:56,7083.27,13626.94,390.72,EXW,N,N,SADC,Y,AMZN268637,N
SHIP000034,22EMKIM435003,,WOODEN FURNITURE,Industrial Supply Co,VIETNAM,GHANA,145542.62,146162.54,3130.79,15.22,KUEHNE NAGEL,ALEXANDRIA,2026-07-14 23:35:56,2026-07-15 00:35:56,2026-07-16 09:35:56,10284.39,24932.32,178.14,DAP,N,N,NONE,Y,AMZN313446,N
SHIP000035,22EMKIM431946,841472,GENERATOR,AutoParts International,vietnam,TANZANIA,2544.33,2447.0,2083.3,9.7,dhl global forwarding,CASABLANCA,2025-12-03 23:35:56,2025-12-04 00:35:56,2025-12-04 15:35:56,233.08,444.39,224.76,EXW,N,N,NONE,Y,AMZN595158,N
SHIP000036,22EMKIM449441,943236,FURNITURE,ChemCorp Industries,,GHANA,140170.13,144900.53,1732.17,11.08,KUEHNE NAGEL,CAPE TOWN,2026-03-21 23:35:56,2026-03-22 02:35:56,2026-03-22 01:35:56,11072.9,24198.88,248.99,DAP,N,N,AFCFTA,Y,AMZN669827,N
SHIP000037,22EMKIM494692,307274,VACCINES,ElectroTech Manufacturing,UAE,GHANA,137057.81,130712.3,507.56,18.22,EXPEDITORS INTERNATIONAL,CASABLANCA,2025-09-15 23:35:56,2025-09-16 01:35:56,2025-09-17 18:35:56,13737.18,24127.2,277.05,DAP,N,N,EAC,Y,AMZN116093,N
SHIP000038,22EMKIM429817,848692,COMPRESSOR,GreenEnergy Systems,GHANA,SOUTH AFRICA,12507.14,12277.84,1181.5,13.72,DHL GLOBAL FORWARDING,CAPE TOWN,2025-10-14 23:35:56,2025-10-15 04:35:56,2025-10-16 20:35:56,1074.81,2173.11,263.91,FOB,N,N,COMESA,Y,AMZN401338,N
SHIP000039,22EMKIM431566,848269,PUMP,TextileWorld Exports,SOUTH KOREA,UGANDA,48994.01,47740.73,3051.36,7.71,DHL GLOBAL FORWARDING,MOMBASA,2026-08-19 23:35:56,2026-08-20 02:35:56,2026-08-23 20:35:56,3459.1,8392.5,252.27,FOB,N,N,AFCFTA,Y,AMZN816318,Y
SHIP000040,22EMKIM431091,398529,PLASTIC COMPONENTS,AgriTech Solutions,,GHANA,49879.08,99758.16,4996.87,17.08,EXPEDITORS INTERNATIONAL,CASABLANCA,2026-04-17 23:35:56,2026-04-18 02:35:56,2026-04-22 07:35:56,9987.01,17886.37,307.09,CIF,N,N,SADC,Y,AMZN211834,Y
SHIP000041,22EMKIM404373,391359,PVC FILM,ChemCorp Industries,UAE,GHANA,111903.24,110250.66,3235.24,6.25,KUEHNE NAGEL,MOMBASA,2025-11-05 23:35:56,2025-11-06 01:35:56,2025-11-06 19:35:56,9157.14,19369.66,243.13,CFR,N,N,AFCFTA,Y,AMZN562236,N
SHIP000042,22EMKIM488647,627807,GARMENTS,AutoParts International,turkey,TANZANIA,75518.32,78872.75,4814.84,2.9,dhl global forwarding,ALEXANDRIA,2025-12-14 23:35:56,2025-12-15 02:35:56,2025-12-17 20:35:56,7428.68,13271.52,194.27,DAP,N,N,NONE,Y,AMZN336574,Y
SHIP000043,22EMKIM408285,946992,FURNITURE,ElectroTech Manufacturing,THAILAND,UGANDA,55603.56,56373.94,1646.75,12.24,KUEHNE NAGEL,MOMBASA,2026-01-22 23:35:56,2026-01-23 04:35:56,2026-01-23 17:35:56,3812.94,9506.64,251.23,DDP,N,N,SADC,Y,AMZN779112,N
SHIP000044,22EMKIM412978,732911,ALUMINIUM SHEETS,TechGlobal Ltd,RWANDA,UGANDA,17860.01,17629.64,3635.73,17.72,BOLLORE LOGISTICS,CASABLANCA,2026-01-02 23:35:56,2026-01-03 01:35:56,2026-01-04 11:35:56,4374.6,3557.54,374.12,CFR,N,N,COMESA,Y,AMZN786735,N
SHIP000045,22EMKIM406629,857070,SWITCHING DEVICE,PharmaLife Sciences,uganda,GHANA,15353.52,20250.84,3212.11,11.98,kuehne nagel,ALEXANDRIA,2026-03-10 23:35:56,2026-03-11 02:35:56,2026-03-12 18:35:56,2254.21,2817.24,292.35,CIF,N,N,SADC,Y,AMZN122394,N
SHIP000046,22EMKIM402068,302124,LAB REAGENTS,AutoParts International,THAILAND,NIGERIA,116268.1,116735.68,3952.02,4.83,DHL GLOBAL FORWARDING,ALEXANDRIA,2026-03-27 23:35:56,2026-03-28 01:35:56,2026-03-28 18:35:56,15097.57,21018.51,166.49,EXW,N,N,EAC,Y,AMZN439498,N
SHIP000047,22EMKIM455872,942862,FURNITURE,PharmaLife Sciences,VIETNAM,SOUTH AFRICA,89253.07,129042.69,313.52,9.63,DHL GLOBAL FORWARDING,PORT ELIZABETH,2025-12-23 23:35:56,2025-12-24 04:35:56,2025-12-24 15:35:56,8331.69,15613.56,228.22,FOB,N,N,SADC,Y,AMZN521126,N
SHIP000048,22EMKIM472264,842323,COMPRESSOR,PlastiPack Ltd,SENEGAL,UGANDA,93835.47,94749.35,580.93,13.13,DHL GLOBAL FORWARDING,LAGOS,2026-04-24 23:35:56,2026-04-25 02:35:56,2026-04-26 22:35:56,6075.37,15985.73,225.83,CFR,N,N,SADC,Y,AMZN906315,N
SHIP000049,22EMKIM443207,307779,ANTIBIOTICS,PharmaLife Sciences,MALAYSIA,UGANDA,64301.22,66434.55,309.31,19.14,PANALPINA, MOMBASA ,2026-04-04 23:35:56,2026-04-05 03:35:56,2026-04-05 10:35:56,3814.54,10898.52,224.14,DDP,N,N,NONE,Y,AMZN688967,N
SHIP000050,22EMKIM481490,731842,METAL FABRICATIONS,PlastiPack Ltd,,UGANDA,76358.18,75213.68,4227.32,19.49,DHL GLOBAL FORWARDING,MOMBASA,2025-11-20 23:35:56,2025-11-21 01:35:56,2025-11-25 12:35:56,15701.27,14729.51,167.23,DAP,N,N,NONE,Y,AMZN958182,Y
SHIP000051,22EMKIM448503,391474X,PACKAGING MATERIAL,ChemCorp Industries,USA,TANZANIA,52978.0,50697.75,1887.21,9.13,KUEHNE NAGEL,CASABLANCA,2026-03-22 23:35:56,2026-03-23 04:35:56,2026-03-25 17:35:56,4611.65,9214.34,295.77,CIF,N,N,EAC,Y,AMZN265055,Y
SHIP000052,22EMKIM487442,702391,GLASS SHEETS,MediCare Solutions,INDIA,NIGERIA,12696.44,12587.48,3394.31,11.9,BOLLORE LOGISTICS,MOMBASA,2025-10-01 23:35:56,2025-10-02 03:35:56,2025-10-03 04:35:56,771.67,2154.9,328.09,EXW,N,N,NONE,Y,AMZN652530,N
SHIP000053,22EMKIM441033,851125,SWITCHING DEVICE,ChemCorp Industries,USA,NIGERIA,43772.35,60543.53,221.09,0.47,DHL GLOBAL FORWARDING,LAGOS,2026-05-04 23:35:56,2026-05-05 01:35:56,2026-05-06 04:35:56,3195.87,7514.92,233.81,CFR,N,N,NONE,Y,AMZN181644,N
SHIP000054,22EMKIM422037,735743,STEEL BARS,ElectroTech Manufacturing,GERMANY,TANZANIA,120297.66,175769.45,130837.07409662116,4.51,DHL GLOBAL FORWARDING,ALEXANDRIA,2026-06-16 23:35:56,2026-06-17 02:35:56,2026-06-18 21:35:56,20971.69,22603.1,238.33,EXW,N,N,COMESA,Y,AMZN916964,N
SHIP000055,22EMKIM482210,306724,ANTIBIOTICS,TextileWorld Exports,THAILAND,KENYA,35822.19,36799.59,3218.53,19.73,KUEHNE NAGEL,MOMBASA ICD,2026-06-28 23:35:56,2026-06-29 00:35:56,2026-06-30 18:35:56,3561.14,6301.33,263.17,DDP,Y,Y,COMESA,Y,AMZN438908,N
SHIP000056,22EMKIM458947,395500,POLYTHENE BAGS,TechGlobal Ltd,VIETNAM,NIGERIA,69530.5,101936.06,2776.04,15.86,DHL GLOBAL FORWARDING,MOMBASA,2026-04-06 23:35:56,2026-04-07 02:35:56,2026-04-10 22:35:56,6449.97,12156.88,242.25,DDP,N,N,COMESA,Y,AMZN143015,Y
SHIP000057,22EMKIM484843,943471,FURNITURE,PharmaLife Sciences,COTE DIVOIRE,TANZANIA,75930.08,76112.83,3397.7,1.14,KUEHNE NAGEL,ALEXANDRIA,2026-07-30 23:35:56,2026-07-31 03:35:56,2026-08-03 06:35:56,6111.63,13126.67,204.58,EXW,N,N,NONE,Y,AMZN761532,Y
SHIP000058,22EMKIM468995,395128,POLYTHENE BAGS,MediCare Solutions,VIETNAM,NIGERIA,46879.64,66907.02,3517.13,18.95,DHL GLOBAL FORWARDING,LAGOS,2026-03-16 23:35:56,2026-03-17 03:35:56,2026-03-18 19:35:56,2542.56,7907.55,233.84,CFR,N,N,NONE,Y,AMZN818709,N
SHIP000059,22EMKIM423703,856940,BATTERY MODULE,MediCare Solutions,ZAMBIA,KENYA,29204.78,29320.93,663.93,7.6,KUEHNE NAGEL,PORT ELIZABETH,2026-01-06 23:35:56,2026-01-07 00:35:56,2026-01-07 19:35:56,3617.43,5251.55,228.98,DDP,N,N,NONE,Y,AMZN270128,N
SHIP000060,22EMKIM450052,401715,CONVEYOR BELTS,GreenEnergy Systems,MOROCCO,UGANDA,91784.02,90035.24,4922.35,9.29,BOLLORE LOGISTICS,ALEXANDRIA,2026-01-27 23:35:56,2026-01-28 01:35:56,2026-01-29 05:35:56,8300.14,16013.47,317.25,DDP,N,N,AFCFTA,Y,AMZN395459,N
SHIP000061,22EMKIM454381,303267,ANTIBIOTICS,TechGlobal Ltd,VIETNAM,TANZANIA,140176.89,180839.13,4085.35,17.7,KUEHNE NAGEL,PORT ELIZABETH,2025-12-02 23:35:56,2025-12-03 02:35:56,2025-12-03 08:35:56,13307.26,24557.46,227.0,CIF,N,N,SADC,Y,AMZN127965,N
SHIP000062,22EMKIM419597,847142,PUMP,TechGlobal Ltd,MOZAMBIQUE,KENYA,50625.91,50486.46,4530.23,0.48,DHL GLOBAL FORWARDING,MOMBASA,2025-10-14 23:35:56,2025-10-15 02:35:56,2025-10-17 03:35:56,4635.08,8841.76,263.83,FOB,N,N,SADC,Y,AMZN326130,Y
SHIP000063,22EMKIM431531,845720,PUMP,ChemCorp Industries,ANGOLA,TANZANIA,96023.28,96021.64,1463.45,0.13,EXPEDITORS INTERNATIONAL,LAGOS,2026-02-09 23:35:56,2026-02-10 00:35:56,2026-02-10 05:35:56,7374.85,16543.7,289.59,CIF,N,N,COMESA,Y,AMZN469954,N
SHIP000064,22EMKIM499179,946908,FURNITURE,MetalWorks Foundry,NIGERIA,TANZANIA,3539.98,3452.77,3145.0,15.45,DHL GLOBAL FORWARDING,ABIDJAN,2025-12-02 23:35:56,2025-12-03 03:35:56,2025-12-03 03:35:56,179.87,595.18,268.28,CFR,N,N,NONE,Y,AMZN870899,N
SHIP000065,22EMKIM425048,878612,ENGINE COMPONENT,AgriTech Solutions,DRC,NIGERIA,107548.74,155706.62,2372.26,0.83,DHL GLOBAL FORWARDING,LAGOS,2026-08-10 23:35:56,2026-08-11 02:35:56,2026-08-11 03:35:56,25658.87,21313.22,197.34,DDP,N,N,NONE,Y,AMZN778324,N
SHIP000066,22EMKIM471496,,TEXTILE FABRIC,GreenEnergy Systems,THAILAND,NIGERIA,134248.31,132467.46,2158.73,19.9,DHL GLOBAL FORWARDING,CAPE TOWN,2026-01-29 23:35:56,2026-01-30 03:35:56,2026-01-30 12:35:56,12064.16,23410.0,190.01,FOB,N,N,EAC,Y,AMZN289222,N
SHIP000067,22EMKIM420969,398305,POLYTHENE BAGS,TextileWorld Exports,turkey,NIGERIA,53056.27,51860.14,1822.92,16.04,dhl global forwarding,NAIROBI,2026-01-27 23:35:56,2026-01-28 04:35:56,2026-01-31 20:35:56,5252.64,9329.43,292.19,DAP,N,N,EAC,Y,AMZN812413,Y
SHIP000068,22EMKIM414869,401570,TYRES,Industrial Supply Co,JAPAN,KENYA,57736.73,60328.09,1996.19,13.03,DHL GLOBAL FORWARDING,ALEXANDRIA,2026-03-10 23:35:56,2026-03-11 01:35:56,2026-03-12 15:35:56,3960.78,9871.6,264.46,EXW,N,N,COMESA,Y,AMZN361736,N
SHIP000069,22EMKIM445537,942929,OFFICE CHAIRS,ChemCorp Industries,MOZAMBIQUE,KENYA,43193.74,63201.36,4838.13,19.73,BOLLORE LOGISTICS,ALEXANDRIA,2025-11-02 23:35:56,2025-11-03 01:35:56,2025-11-04 08:35:56,3135.96,7412.75,424.67,CFR,N,N,SADC,N,AMZN800280,N
SHIP000070,22EMKIM494223,393580,PACKAGING MATERIAL,GreenEnergy Systems,MALAYSIA,UGANDA,118913.82,119773.3,338.08,8.02,DHL GLOBAL FORWARDING,DURBAN,2026-06-01 23:35:56,2026-06-02 00:35:56,2026-06-03 08:35:56,8724.74,20422.17,297.45,FOB,N,N,AFCFTA,Y,AMZN851759,N
SHIP000071,22EMKIM492973,702208,GLASS BOTTLES,GreenEnergy Systems,VIETNAM,GHANA,102176.29,106940.41,773.55,3.38,KUEHNE NAGEL,TEMA,2026-01-16 23:35:56,2026-01-17 04:35:56,2026-01-18 12:35:56,7318.98,17519.24,286.61,DDP,N,N,EAC,Y,AMZN438334,N
SHIP000072,22EMKIM403718,392292,PLASTIC COMPONENTS,AutoParts International,MALAYSIA,SOUTH AFRICA,19212.96,18576.31,1694.72,18.49,DHL GLOBAL FORWARDING,ABIDJAN,2026-04-24 23:35:56,2026-04-25 00:35:56,2026-04-26 11:35:56,1865.2,3372.51,173.13,DDP,N,N,COMESA,Y,AMZN143195,N
SHIP000073,22EMKIM444589,394453,POLYTHENE BAGS,ElectroTech Manufacturing,INDIA,KENYA,133405.03,137469.72,2203.63,9.74,DHL GLOBAL FORWARDING,MOMBASA,2025-12-31 23:35:56,2026-01-01 02:35:56,2026-01-02 18:35:56,11239.31,23143.09,194.62,CIF,N,N,EAC,Y,AMZN313933,N
SHIP000074,22EMKIM440988,627532,GARMENTS,GreenEnergy Systems,DRC,TANZANIA,36639.81,34993.24,4069.25,18.68,DHL GLOBAL FORWARDING,DURBAN,2026-04-01 23:35:56,2026-04-02 01:35:56,2026-04-06 08:35:56,3563.93,6432.6,279.62,CIF,N,N,SADC,Y,AMZN856157,Y
SHIP000075,22EMKIM495355,409171,RUBBER HOSES,PharmaLife Sciences,CAMEROON,SOUTH AFRICA,68855.98,94589.08,4237.39,8.68,BOLLORE LOGISTICS,CASABLANCA,2025-12-27 23:35:56,2025-12-28 00:35:56,2025-12-31 20:35:56,6480.52,12053.84,363.57,FOB,N,N,SADC,Y,AMZN377319,Y
SHIP000076,22EMKIM452610,854189,BATTERY MODULE,MetalWorks Foundry,MOZAMBIQUE,NIGERIA,67827.98,101319.45,130837.07409662116,4.06,BOLLORE LOGISTICS,CASABLANCA,2025-12-27 23:35:56,2025-12-28 04:35:56,2025-12-29 16:35:56,6063.17,11822.58,398.72,EXW,N,N,NONE,Y,AMZN633853,N
SHIP000077,22EMKIM448281,409508,CONVEYOR BELTS,MediCare Solutions,TURKEY,TANZANIA,49530.89,50716.26,2818.99,9.55,DHL GLOBAL FORWARDING,ABIDJAN,2026-07-02 23:35:56,2026-07-03 03:35:56,2026-07-03 11:35:56,3217.61,8439.76,200.46,CFR,N,N,COMESA,Y,AMZN117445,N
SHIP000078,22EMKIM453788,391436,POLYTHENE BAGS,PharmaLife Sciences,INDIA,NIGERIA,87736.73,85474.85,2099.71,8.32,KUEHNE NAGEL,LAGOS,2026-08-16 23:35:56,2026-08-17 01:35:56,2026-08-20 23:35:56,6898.61,15141.65,255.08,EXW,N,N,AFCFTA,Y,AMZN313795,Y
SHIP000079,22EMKIM429473,853262,CABLE ASSEMBLY,AutoParts International,THAILAND,TANZANIA,79058.83,80449.23,4787.11,5.65,BOLLORE LOGISTICS,MOMBASA ICD,2026-01-10 23:35:56,2026-01-11 02:35:56,2026-01-15 19:35:56,10812.52,14379.42,370.19,CIF,N,N,NONE,Y,AMZN412999,Y
